rooms,distance,crime_rate,age,income,school_score,has_park,near_subway,city,house_price
6,12.987848209927769,0.4994512219852585,29,59.278916728297965,10.0,0,0,Alpha,121.50883680895699
4,13.281512838151027,0.29498281970141416,100,56.26261214062043,5.309000799509019,1,1,Delta,82.52449766740575
5,6.154737819398694,0.27165391816039697,15,64.27017230693934,6.335637056606319,0,1,Alpha,107.04639755191835
6,4.438256894148033,0.1801408070917041,26,69.01695640219508,8.491977049266225,1,1,Delta,125.9681902332467
4,8.58081338743562,0.17481907961012957,106,28.462388406975066,6.777035254425674,1,1,Gamma,91.76445182905456
5,15.564495511505573,0.16496048703074143,9,55.48273226782524,5.863029118172336,1,0,Beta,96.60949520463704
6,0.5,0.23759182400401413,36,47.58128024468573,5.147556701474005,0,1,Gamma,101.83317236860812
2,12.1065070760635,0.23310038822462545,30,41.502075333162566,7.750439093828656,1,0,Alpha,77.14028086491342
1,5.696979090205659,0.4705930477015367,95,51.79198082911499,8.427849452938108,0,0,Beta,71.82040282797134
2,14.161468586165096,0.23707009810118015,62,58.156918533085936,8.959850990674179,1,1,Beta,94.04593774260961
2,5.688304236492992,0.2675443773254502,18,56.004653151605766,7.075303914228605,1,0,Alpha,80.58801286406063
6,8.858336691136637,0.1450082828146309,70,38.17999029846412,8.462982953421127,0,1,Gamma,95.37985353988735
6,3.974883597441747,0.8079503886903622,108,52.752757280360925,5.553882553438761,1,1,Alpha,111.48776531896145
1,6.090968598007611,0.4082775140718032,105,90.23749337885954,7.23522991772388,1,0,Gamma,94.137985539197
3,15.543356652184473,0.8810189897899069,111,44.18167733930353,6.051658224043734,0,0,Alpha,72.05204952490968
5,13.282314743560235,0.4858435964995067,102,34.69360532253135,7.243374368444374,0,1,Gamma,90.3804451856324
1,8.393327391397298,0.7362257889378176,103,64.12862354118107,8.050999152167552,0,0,Alpha,68.98934314056483
5,6.5193105191829765,0.25947562400278595,116,68.94942241222307,8.497616638042505,0,0,Beta,108.67072231091633
1,2.4247714539527436,0.46315036498839246,73,66.9606615314279,5.614131297923551,0,1,Delta,74.74008044110293
3,8.425373152396062,1.5269981606825418,106,43.204236962302396,8.77448207872246,1,0,Gamma,82.97813900023863
5,9.876386989654808,0.1445513202615915,39,74.9714238786312,6.335859273368339,1,1,Alpha,122.64527615213152
2,9.663782568662064,0.6100351948757928,54,48.22001717241227,5.563974097174743,0,0,Alpha,68.18880455156085
3,9.62483228809532,0.8342405666862113,40,42.97685318639072,6.761154088220871,1,1,Beta,76.83386308062518
2,5.512761491092296,0.38777754035995027,17,50.87283715230065,4.952426179396118,0,1,Gamma,78.3869106384128
5,9.734904458537528,0.4766977967937394,8,58.36949239918913,7.0064094754134665,0,0,Alpha,109.93691119606564
2,9.845306481859577,0.6490670081049112,114,70.71137142096683,7.405585794998156,1,0,Gamma,98.55726524905003
6,15.16224815121271,0.20145744729401405,81,69.35747738532518,6.7194818828483145,1,0,Gamma,112.91436662272389
3,17.466933817409448,0.38691394960674885,28,59.662510934122636,7.750630566785439,0,1,Delta,90.7564270677353
3,9.452043892328833,0.17678818439245633,40,73.99358333518458,6.55944652251364,1,0,Alpha,95.61765434262011
4,6.934776195296454,0.1989407524850131,75,61.222343600979706,7.005671439992489,0,0,Alpha,97.32036465762175
4,9.740071480952146,0.20619403266501363,17,73.439758557007,4.983070164445772,0,0,Gamma,95.29326910343447
4,7.569514898982252,0.2758878149092985,32,38.9419680778621,7.059741034336613,0,0,Beta,82.99832480744114
4,7.0302647370150035,0.3295145998521644,11,36.387390109243135,5.808549030021823,1,0,Alpha,82.99348104138056
6,9.76539939231143,0.39765117616699386,98,71.63580669924802,6.370309956103963,0,1,Alpha,117.53421377251445
5,5.826782275390739,0.12611700221570216,46,39.14876330810995,6.868849313862258,0,0,Alpha,96.13213060785672
5,12.424427004620071,1.016194993120581,24,55.477211992869194,7.267368685573351,1,1,Gamma,100.29732353659634
5,9.584337803263692,0.6126983048478806,23,58.52845871976852,4.694668119137056,1,1,Gamma,105.04275976945003
4,11.000033227439811,0.4705456320519028,51,52.680737390183054,4.8112033089481105,0,1,Beta,87.27644695985896
3,9.268239856117313,0.24173378146033797,83,53.19765789226825,6.577234926852528,0,0,Delta,78.17219343533051
6,7.090982210990351,0.28513743124683927,27,80.88939817767215,7.6641403140624735,0,0,Beta,135.4390948207944
3,6.208161761004593,0.42176788676979915,24,22.055977372504515,7.504337984606769,0,0,Beta,70.31358346478893
2,9.050895982701837,0.3878502342158701,103,73.25810452084244,8.249892609325817,1,0,Beta,93.15024916068681
6,7.804958650288752,0.10724520156301488,1,94.42758514190348,8.821507050744659,1,1,Beta,146.11921860732383
1,10.935605332838303,0.4750038159323561,74,60.35376840849099,7.695006658982578,0,0,Beta,71.48202375323491
6,9.982273187209442,1.8093154205470028,2,59.715378067808736,6.972192822127041,0,1,Gamma,112.41732494969898
4,4.550773008309083,0.0967162379151257,76,70.89556193434538,5.5559590774690255,0,0,Beta,98.75679175414108
1,10.268485197713407,0.5553296225550381,32,87.43281810852028,5.675505108591531,1,0,Alpha,95.55145888229639
1,4.628558331436971,0.37798573772734156,38,42.17926576321496,6.34596133979519,1,1,Beta,77.13735713792401
3,7.534089497922878,0.2812112446307186,60,61.31534000332839,7.374481249295149,0,0,Delta,92.20472527131706
1,8.82258556312861,0.7006193453969192,22,57.20675212688734,7.309029746466653,0,0,Beta,68.3574846000465
1,1.698906888354756,0.14541583870803768,88,68.39071915259697,7.005941258313375,0,1,Alpha,78.78986440406963
4,10.366029791439926,0.3329566411177676,103,62.38780044644269,6.786188278863556,0,0,Beta,92.29198993132859
6,10.60393339885734,0.7416875554142476,51,69.8947967362632,7.882694756025692,1,1,Beta,124.45829128923606
3,9.367903226301308,0.2667991563907102,91,53.675509771176856,7.291665403549919,0,1,Alpha,92.48676342326688
5,8.302730910113624,0.23280413067896058,92,60.73503233352781,7.416985522601341,1,0,Delta,103.5999275985786
6,8.50558535956744,0.3232873681688002,88,49.944864293892245,7.4318119666901055,0,1,Delta,103.48972818515396
5,6.093842125555772,0.22899543530262026,91,50.035642444859306,6.23518986122345,0,0,Alpha,107.0158824943658
4,8.921198521084753,0.7815323292111037,119,57.87690238990633,5.556827470717359,0,0,Beta,84.82155099375369
3,7.789552785940552,0.1721982819322877,28,57.86985142380924,7.687578910304045,0,0,Alpha,97.62122468609014
